,date,hr,tickets
185,2022-07-08,17,66.33577982
186,2022-07-08,18,52.72844037
187,2022-07-08,19,39.12110092
188,2022-07-08,20,27.2146789
189,2022-07-08,21,17.00917431
190,2022-07-08,22,0
191,2022-07-08,23,0
192,2022-07-09,0,0
193,2022-07-09,1,0
194,2022-07-09,2,0
195,2022-07-09,3,0
196,2022-07-09,4,0
197,2022-07-09,5,0
198,2022-07-09,6,0
199,2022-07-09,7,0
200,2022-07-09,8,42.67155963
201,2022-07-09,9,77.81284404
202,2022-07-09,10,112.9541284
203,2022-07-09,11,140.5651376
204,2022-07-09,12,153.1155963
205,2022-07-09,13,153.1155963
206,2022-07-09,14,143.0752294
207,2022-07-09,15,130.5247706
208,2022-07-09,16,115.4642202
209,2022-07-09,17,97.89357798
210,2022-07-09,18,77.81284404
211,2022-07-09,19,57.73211009
212,2022-07-09,20,40.16146789
213,2022-07-09,21,25.10091743
214,2022-07-09,22,0
215,2022-07-09,23,0
216,2022-07-10,0,0
217,2022-07-10,1,0
218,2022-07-10,2,0
219,2022-07-10,3,0
220,2022-07-10,4,0
221,2022-07-10,5,0
222,2022-07-10,6,0
223,2022-07-10,7,0
224,2022-07-10,8,47.16330275
225,2022-07-10,9,86.00366972
226,2022-07-10,10,124.8440367
227,2022-07-10,11,155.3614679
228,2022-07-10,12,169.2330275
229,2022-07-10,13,169.2330275
230,2022-07-10,14,158.1357798
231,2022-07-10,15,144.2642202
232,2022-07-10,16,127.6183486
233,2022-07-10,17,108.1981651
234,2022-07-10,18,86.00366972
235,2022-07-10,19,63.80917431
236,2022-07-10,20,44.38899083
237,2022-07-10,21,27.74311927
238,2022-07-10,22,0
239,2022-07-10,23,0
240,2022-07-11,0,0
241,2022-07-11,1,0
242,2022-07-11,2,0
243,2022-07-11,3,0
244,2022-07-11,4,0
245,2022-07-11,5,0
246,2022-07-11,6,0
247,2022-07-11,7,0
248,2022-07-11,8,25.73394495
249,2022-07-11,9,46.9266055
250,2022-07-11,10,68.11926606
251,2022-07-11,11,84.7706422
252,2022-07-11,12,92.33944954
253,2022-07-11,13,92.33944954
254,2022-07-11,14,86.28440367
255,2022-07-11,15,78.71559633
256,2022-07-11,16,69.63302752
257,2022-07-11,17,59.03669725
258,2022-07-11,18,46.9266055
259,2022-07-11,19,34.81651376
260,2022-07-11,20,24.22018349
261,2022-07-11,21,15.13761468
262,2022-07-11,22,0
263,2022-07-11,23,0
264,2022-07-12,0,0
265,2022-07-12,1,0
266,2022-07-12,2,0
267,2022-07-12,3,0
268,2022-07-12,4,0
269,2022-07-12,5,0
270,2022-07-12,6,0
271,2022-07-12,7,0
272,2022-07-12,8,26.26422018
273,2022-07-12,9,47.89357798
274,2022-07-12,10,69.52293578
275,2022-07-12,11,86.51743119
276,2022-07-12,12,94.24220183
