time,港濱軸帶,安平老街,國華海安商圈,孔廟文化園區,赤崁園區
2022/7/1801:00:00PM,30.5,30.61,30.7,30.7,30.7
2022/7/1802:00:00PM,31.6,30.95,32.6,32.6,32.6
2022/7/1803:00:00PM,31.6,31.21,32.6,32.6,32.6
2022/7/1804:00:00PM,31,30.99,31.3,31.3,31.3
2022/7/1805:00:00PM,30.7,30.2,30.7,30.7,30.7
2022/7/1806:00:00PM,30.3,30.02,30.3,30.3,30.3
2022/7/1807:00:00PM,29.8,29.68,30.2,30.2,30.2
2022/7/1808:00:00PM,29.9,29.72,30.1,30.1,30.1
2022/7/1809:00:00PM,29.7,29.68,29.7,29.7,29.7
2022/7/1810:00:00PM,29.6,29.53,29.7,29.7,29.7
2022/7/1811:00:00PM,29.5,29.47,29.3,29.3,29.3
2022/7/1912:00:00AM,29.3,29.3,29.3,29.3,29.3
2022/7/1901:00:00AM,29.2,29.21,29.1,29.1,29.1
2022/7/1902:00:00AM,28.9,29.13,28.8,28.8,28.8
2022/7/1903:00:00AM,28.4,28.69,28.5,28.5,28.5
2022/7/1904:00:00AM,28.2,28.48,28.4,28.4,28.4
2022/7/1905:00:00AM,28,28.21,27.9,27.9,27.9
2022/7/1906:00:00AM,28,28.8,28.1,28.1,28.1
2022/7/1907:00:00AM,29.2,30.05,29,29,29
2022/7/1908:00:00AM,30.3,30.77,30.2,30.2,30.2
2022/7/1909:00:00AM,30.5,30.73,31.3,31.3,31.3
2022/7/1910:00:00AM,31.1,30.92,31.6,31.6,31.6
2022/7/1911:00:00AM,31.2,31.11,32.1,32.1,32.1
2022/7/1912:00:00PM,31.9,31.25,32,32,32
2022/7/1901:00:00PM,31.7,31.66,31.8,31.8,31.8
2022/7/1902:00:00PM,32.1,31.64,32.3,32.3,32.3
2022/7/1903:00:00PM,31.8,31.32,31.9,31.9,31.9
2022/7/1904:00:00PM,31.3,31.21,32.3,32.3,32.3
2022/7/1905:00:00PM,30.9,30.78,31.1,31.1,31.1
2022/7/1906:00:00PM,30.2,30.3,30.5,30.5,30.5
2022/7/1907:00:00PM,30,29.91,30.3,30.3,30.3
2022/7/1908:00:00PM,30,29.89,30.4,30.4,30.4
2022/7/1909:00:00PM,30,29.94,30.2,30.2,30.2
2022/7/1910:00:00PM,30,30.03,30.2,30.2,30.2
2022/7/1911:00:00PM,29.9,30.01,30.1,30.1,30.1
2022/7/2012:00:00AM,30,29.74,29.8,29.8,29.8
2022/7/2001:00:00AM,29.4,29.67,29.7,29.7,29.7
2022/7/2002:00:00AM,29.4,29.53,29.7,29.7,29.7
2022/7/2003:00:00AM,29.3,29.57,29.3,29.3,29.3
2022/7/2004:00:00AM,28.7,29.21,28.8,28.8,28.8
2022/7/2005:00:00AM,28.4,28.88,28.8,28.8,28.8
2022/7/2006:00:00AM,28.9,29.02,28.6,28.6,28.6
2022/7/2007:00:00AM,30.1,30.52,29.6,29.6,29.6
2022/7/2008:00:00AM,30.8,31.26,31.6,31.6,31.6
2022/7/2009:00:00AM,31.3,31.39,32.5,32.5,32.5
2022/7/2010:00:00AM,31.5,31.34,32.6,32.6,32.6
2022/7/2011:00:00AM,31.8,31.48,32.8,32.8,32.8
2022/7/2012:00:00PM,32.1,31.55,33.5,33.5,33.5
2022/7/2001:00:00PM,32.1,31.78,33,33,33
2022/7/2002:00:00PM,31.7,31.7,32.7,32.7,32.7
2022/7/2003:00:00PM,31.4,31.55,32.5,32.5,32.5
2022/7/2004:00:00PM,31.4,31.43,31.9,31.9,31.9
2022/7/2005:00:00PM,31.2,31.12,31.2,31.2,31.2
2022/7/2006:00:00PM,30.3,30.5,30.6,30.6,30.6
2022/7/2007:00:00PM,30.2,30.21,30.4,30.4,30.4
2022/7/2008:00:00PM,29.9,29.94,30.4,30.4,30.4
2022/7/2009:00:00PM,29.6,29.83,30,30,30
2022/7/2010:00:00PM,29.5,29.74,29.9,29.9,29.9
2022/7/2011:00:00PM,29.4,29.65,29.9,29.9,29.9
2022/7/2112:00:00AM,29.3,29.47,29.6,29.6,29.6
2022/7/2101:00:00AM,29.1,29.46,29.5,29.5,29.5
2022/7/2102:00:00AM,29,29.36,29.2,29.2,29.2
2022/7/2103:00:00AM,28.8,29.01,29.2,29.2,29.2
2022/7/2104:00:00AM,28.5,28.81,28.9,28.9,28.9
2022/7/2105:00:00AM,28.5,28.67,28.9,28.9,28.9
2022/7/2106:00:00AM,28.7,28.58,28.6,28.6,28.6
2022/7/2107:00:00AM,31.3,30.07,29.2,29.2,29.2
2022/7/2108:00:00AM,30.2,29.95,29.9,29.9,29.9
2022/7/2109:00:00AM,31.6,31.16,31.1,31.1,31.1
2022/7/2110:00:00AM,31.9,31.21,30.8,30.8,30.8
2022/7/2111:00:00AM,31.7,31.34,31.9,31.9,31.9
2022/7/2112:00:00PM,32.2,31.6,31.6,31.6,31.6
2022/7/2101:00:00PM,31.9,31.62,33.1,33.1,33.1
2022/7/2102:00:00PM,32.4,31.61,32.6,32.6,32.6
2022/7/2103:00:00PM,32.4,31.69,32.2,32.2,32.2
2022/7/2104:00:00PM,31.8,31.46,31.9,31.9,31.9
2022/7/2105:00:00PM,31.7,31.22,31.3,31.3,31.3
2022/7/2106:00:00PM,30.9,31.14,30.8,30.8,30.8
2022/7/2107:00:00PM,30.3,30.67,30.4,30.4,30.4
2022/7/2108:00:00PM,30.2,30.5,30.8,30.8,30.8
2022/7/2109:00:00PM,30,30.41,30.4,30.4,30.4
2022/7/2110:00:00PM,29.8,30.09,30.2,30.2,30.2
2022/7/2111:00:00PM,29.7,29.82,30.1,30.1,30.1
2022/7/2212:00:00AM,29.5,29.51,29.8,29.8,29.8
2022/7/2201:00:00AM,29.3,29.42,29.6,29.6,29.6
2022/7/2202:00:00AM,29.1,29.29,29.4,29.4,29.4
2022/7/2203:00:00AM,29,29.28,29.2,29.2,29.2
2022/7/2204:00:00AM,29,29.09,29.1,29.1,29.1
2022/7/2205:00:00AM,28.6,28.85,29,29,29
2022/7/2206:00:00AM,29,28.99,29.1,29.1,29.1
2022/7/2207:00:00AM,30.2,30.13,29.7,29.7,29.7
2022/7/2208:00:00AM,30.6,30.46,30.8,30.8,30.8
2022/7/2209:00:00AM,30.7,31.32,32.1,32.1,32.1
2022/7/2210:00:00AM,31.4,30.94,31.4,31.4,31.4
2022/7/2211:00:00AM,31.9,31.07,32.4,32.4,32.4
2022/7/2212:00:00PM,32,31.34,32.3,32.3,32.3
2022/7/2201:00:00PM,32.4,31.51,32.2,32.2,32.2
2022/7/2202:00:00PM,31.9,31.77,32.1,32.1,32.1
2022/7/2203:00:00PM,32.5,31.7,31.5,31.5,31.5
2022/7/2204:00:00PM,32.1,31.45,31.5,31.5,31.5
2022/7/2205:00:00PM,31.6,31.32,31.6,31.6,31.6
2022/7/2206:00:00PM,31,30.64,30.9,30.9,30.9
2022/7/2207:00:00PM,30.3,30.37,30.5,30.5,30.5
2022/7/2208:00:00PM,30.2,30.2,30.4,30.4,30.4
2022/7/2209:00:00PM,30,30.01,30.3,30.3,30.3
2022/7/2210:00:00PM,29.8,29.88,30.1,30.1,30.1
2022/7/2211:00:00PM,29.8,29.56,30.1,30.1,30.1
2022/7/2312:00:00AM,29.7,29.59,29.9,29.9,29.9
2022/7/2301:00:00AM,29.5,29.53,29.6,29.6,29.6
2022/7/2302:00:00AM,29.3,29.45,29.4,29.4,29.4
2022/7/2303:00:00AM,29,29.28,29.1,29.1,29.1
2022/7/2304:00:00AM,28.7,29.03,28.6,28.6,28.6
2022/7/2305:00:00AM,28.4,28.68,28.7,28.7,28.7
2022/7/2306:00:00AM,29.1,28.88,28.3,28.3,28.3
2022/7/2307:00:00AM,29.7,30.22,29.4,29.4,29.4
2022/7/2308:00:00AM,30.3,30.54,30.6,30.6,30.6
2022/7/2309:00:00AM,30.8,30.87,31.7,31.7,31.7
2022/7/2310:00:00AM,31.1,31.11,31.8,31.8,31.8
2022/7/2311:00:00AM,31.3,31.3,32.7,32.7,32.7
2022/7/2312:00:00PM,31.3,31.38,32.7,32.7,32.7
2022/7/2301:00:00PM,31.8,32.07,32.5,32.5,32.5
2022/7/2302:00:00PM,31.2,31.77,32.4,32.4,32.4
2022/7/2303:00:00PM,32.6,32.22,32,32,32
2022/7/2304:00:00PM,31.5,32.29,32.5,32.5,32.5
2022/7/2305:00:00PM,31.9,31.72,32.2,32.2,32.2
2022/7/2306:00:00PM,31.1,31.19,31.2,31.2,31.2
2022/7/2307:00:00PM,30.1,30.68,30.7,30.7,30.7
2022/7/2308:00:00PM,29.9,30.2,30.2,30.2,30.2
2022/7/2309:00:00PM,29.7,29.93,30.3,30.3,30.3
2022/7/2310:00:00PM,29.5,29.77,30.2,30.2,30.2
2022/7/2311:00:00PM,29.4,29.42,29.8,29.8,29.8
2022/7/2412:00:00AM,29.4,29.29,29.5,29.5,29.5
2022/7/2401:00:00AM,29.3,29.38,29.4,29.4,29.4
2022/7/2402:00:00AM,29.5,29.67,29,29,29
2022/7/2403:00:00AM,29.6,29.64,29.4,29.4,29.4
2022/7/2404:00:00AM,29.6,29.55,29.5,29.5,29.5
2022/7/2405:00:00AM,29.7,29.7,29,29,29
2022/7/2406:00:00AM,29.4,29.71,29,29,29
2022/7/2407:00:00AM,30.3,30.5,29.5,29.5,29.5
2022/7/2408:00:00AM,30.8,30.86,30.4,30.4,30.4
2022/7/2409:00:00AM,31.7,31.85,31.6,31.6,31.6
2022/7/2410:00:00AM,32.1,31.92,31.9,31.9,31.9
2022/7/2411:00:00AM,32.2,31.42,32.4,32.4,32.4
2022/7/2412:00:00PM,32.5,31.8,32.2,32.2,32.2
2022/7/2401:00:00PM,32.8,32.09,33.1,33.1,33.1
2022/7/2402:00:00PM,33.1,32.86,32.8,32.8,32.8
2022/7/2403:00:00PM,32.8,32.69,32.8,32.8,32.8
2022/7/2404:00:00PM,32.3,32.46,32.9,32.9,32.9
2022/7/2405:00:00PM,31.8,31.78,32.5,32.5,32.5
2022/7/2406:00:00PM,31.2,31.38,31.9,31.9,31.9
2022/7/2407:00:00PM,30.4,30.97,30.8,30.8,30.8
2022/7/2408:00:00PM,30.3,30.7,31,31,31
2022/7/2409:00:00PM,30.1,30.3,30.5,30.5,30.5
2022/7/2410:00:00PM,29.9,29.91,30.3,30.3,30.3
2022/7/2411:00:00PM,29.7,29.84,30.1,30.1,30.1
2022/7/2512:00:00AM,29.7,29.73,29.8,29.8,29.8
2022/7/2501:00:00AM,29.8,29.69,30,30,30
2022/7/2502:00:00AM,29.6,29.69,30,30,30
2022/7/2503:00:00AM,29.7,29.57,30.1,30.1,30.1
2022/7/2504:00:00AM,29.7,29.69,29.9,29.9,29.9
2022/7/2505:00:00AM,29.8,29.72,30,30,30
2022/7/2506:00:00AM,29.8,29.9,29.9,29.9,29.9
2022/7/2507:00:00AM,30.3,30.31,30.2,30.2,30.2
2022/7/2508:00:00AM,31.3,30.65,30.4,30.4,30.4
2022/7/2509:00:00AM,31.5,30.83,30.5,30.5,30.5
2022/7/2510:00:00AM,32.3,31.64,31.3,31.3,31.3
2022/7/2511:00:00AM,32.5,32.17,32.1,32.1,32.1
2022/7/2512:00:00PM,32.5,32.05,33.2,33.2,33.2
2022/7/2501:00:00PM,32.5,31.93,32.5,32.5,32.5
2022/7/2502:00:00PM,32.4,32.34,32.9,32.9,32.9
2022/7/2503:00:00PM,32,32.44,33.1,33.1,33.1
2022/7/2504:00:00PM,32,32.29,32.2,32.2,32.2
2022/7/2505:00:00PM,32.1,31.6,31.9,31.9,31.9
2022/7/2506:00:00PM,31.7,31.18,31.4,31.4,31.4
2022/7/2507:00:00PM,30.2,30.65,30.8,30.8,30.8
2022/7/2508:00:00PM,29.9,30.09,30.6,30.6,30.6
2022/7/2509:00:00PM,30,30.13,30.4,30.4,30.4
2022/7/2510:00:00PM,30,29.98,30.2,30.2,30.2
2022/7/2511:00:00PM,30,30.05,30.2,30.2,30.2
2022/7/2612:00:00AM,29.9,29.97,30.1,30.1,30.1
2022/7/2601:00:00AM,29.8,29.86,29.9,29.9,29.9
2022/7/2602:00:00AM,29.7,29.75,29.9,29.9,29.9
2022/7/2603:00:00AM,29.9,29.73,30,30,30
2022/7/2604:00:00AM,29.7,29.66,29.9,29.9,29.9
2022/7/2605:00:00AM,29.6,29.61,29.6,29.6,29.6
2022/7/2606:00:00AM,29.7,29.79,29.7,29.7,29.7
2022/7/2607:00:00AM,30.4,30.25,29.9,29.9,29.9
2022/7/2608:00:00AM,31,30.65,30.4,30.4,30.4
2022/7/2609:00:00AM,31.8,31.41,31.7,31.7,31.7
2022/7/2610:00:00AM,31.7,31.67,32.2,32.2,32.2
2022/7/2611:00:00AM,31.7,31.9,32,32,32
2022/7/2612:00:00PM,32.1,32.14,32.3,32.3,32.3
2022/7/2601:00:00PM,32.3,32.72,31.7,31.7,31.7
2022/7/2602:00:00PM,32.9,32.39,32.8,32.8,32.8
2022/7/2603:00:00PM,32.6,32.27,32.1,32.1,32.1
2022/7/2604:00:00PM,32.5,32.47,32.2,32.2,32.2
2022/7/2605:00:00PM,32.1,31.85,32.8,32.8,32.8
2022/7/2606:00:00PM,30.9,31.58,31.9,31.9,31.9
2022/7/2607:00:00PM,30.3,30.79,30.7,30.7,30.7
2022/7/2608:00:00PM,30.2,30.31,30.1,30.1,30.1
2022/7/2609:00:00PM,29.7,30.04,30.1,30.1,30.1
2022/7/2610:00:00PM,30,29.99,30,30,30
2022/7/2611:00:00PM,29.5,29.8,29.3,29.3,29.3
2022/7/2712:00:00AM,29.1,29.53,29.4,29.4,29.4
2022/7/2701:00:00AM,29.2,29.44,29.3,29.3,29.3
2022/7/2702:00:00AM,29,29.33,29,29,29
2022/7/2703:00:00AM,28.9,29.24,28.8,28.8,28.8
2022/7/2704:00:00AM,28.9,28.98,28.8,28.8,28.8
2022/7/2705:00:00AM,28.9,29,28.7,28.7,28.7
2022/7/2706:00:00AM,29.2,29.32,29.1,29.1,29.1
2022/7/2707:00:00AM,30.1,30.53,29.7,29.7,29.7
2022/7/2708:00:00AM,29.1,30.68,30.6,30.6,30.6
2022/7/2709:00:00AM,28.7,29.05,28.9,28.9,28.9
2022/7/2710:00:00AM,29.9,29.25,29.5,29.5,29.5
2022/7/2711:00:00AM,30.9,31.15,31.8,31.8,31.8
2022/7/2712:00:00PM,31.2,31.72,32.4,32.4,32.4
2022/7/2701:00:00PM,32.1,32.04,32.5,32.5,32.5
2022/7/2702:00:00PM,31.9,32.33,32.9,32.9,32.9
2022/7/2703:00:00PM,32.4,32.35,32.3,32.3,32.3
2022/7/2704:00:00PM,32.1,32.67,32.4,32.4,32.4
2022/7/2705:00:00PM,31.8,31.92,32.2,32.2,32.2
2022/7/2706:00:00PM,31,31.09,31.4,31.4,31.4
2022/7/2707:00:00PM,30.3,30.54,30.7,30.7,30.7
2022/7/2708:00:00PM,30.1,30.34,30.6,30.6,30.6
2022/7/2709:00:00PM,29.7,30.02,29.8,29.8,29.8
2022/7/2710:00:00PM,29.5,29.81,29.1,29.1,29.1
2022/7/2711:00:00PM,28.8,29.23,28.9,28.9,28.9
2022/7/2812:00:00AM,29,29.34,29.3,29.3,29.3
2022/7/2801:00:00AM,29.2,29.19,29.1,29.1,29.1
2022/7/2802:00:00AM,28.9,29.19,28.6,28.6,28.6
2022/7/2803:00:00AM,28.9,29.15,28.9,28.9,28.9
2022/7/2804:00:00AM,28.8,28.79,29,29,29
2022/7/2805:00:00AM,28.7,28.97,29.2,29.2,29.2
2022/7/2806:00:00AM,28.9,29.01,29.2,29.2,29.2
2022/7/2807:00:00AM,29.7,29.92,29.3,29.3,29.3
2022/7/2808:00:00AM,30.3,30.52,30.6,30.6,30.6
2022/7/2809:00:00AM,31.4,31.74,31.8,31.8,31.8
2022/7/2810:00:00AM,31.9,31.95,32.2,32.2,32.2
2022/7/2811:00:00AM,32.5,31.99,32.9,32.9,32.9
2022/7/2812:00:00PM,32.8,32.57,33.1,33.1,33.1
2022/7/2801:00:00PM,32.5,32.73,33.3,33.3,33.3
2022/7/2802:00:00PM,33,32.78,32.9,32.9,32.9
2022/7/2803:00:00PM,32.9,33.1,33,33,33
2022/7/2804:00:00PM,32.9,32.51,32.7,32.7,32.7
2022/7/2805:00:00PM,32.2,31.89,32.7,32.7,32.7
2022/7/2806:00:00PM,31.3,31.26,31.8,31.8,31.8
2022/7/2807:00:00PM,30.6,30.59,31.3,31.3,31.3
2022/7/2808:00:00PM,30.3,30.35,30.7,30.7,30.7
2022/7/2809:00:00PM,30.2,30.07,30.5,30.5,30.5
2022/7/2810:00:00PM,29.9,30.03,30.4,30.4,30.4
2022/7/2811:00:00PM,29.8,29.91,30.3,30.3,30.3
2022/7/2912:00:00AM,29.3,29.72,29.9,29.9,29.9
2022/7/2901:00:00AM,29.2,29.49,29.7,29.7,29.7
2022/7/2902:00:00AM,29.1,29.38,29.5,29.5,29.5
2022/7/2903:00:00AM,29.2,29.29,29.4,29.4,29.4
2022/7/2904:00:00AM,29.2,29.34,29.3,29.3,29.3
2022/7/2905:00:00AM,28.5,28.76,28.9,28.9,28.9
2022/7/2906:00:00AM,28.4,28.7,28.8,28.8,28.8
2022/7/2907:00:00AM,29,29.17,29.2,29.2,29.2
2022/7/2908:00:00AM,29.8,29.91,30.2,30.2,30.2
2022/7/2909:00:00AM,31,30.88,31.4,31.4,31.4
2022/7/2910:00:00AM,32.1,31.75,31.8,31.8,31.8
2022/7/2911:00:00AM,32.1,32.17,33.2,33.2,33.2
2022/7/2912:00:00PM,33,32.61,32.9,32.9,32.9
2022/7/2901:00:00PM,32.5,32.93,33,33,33
2022/7/2902:00:00PM,32,32.53,32.5,32.5,32.5
2022/7/2903:00:00PM,32.6,32.21,32.4,32.4,32.4
2022/7/2904:00:00PM,32,32,32.3,32.3,32.3
2022/7/2905:00:00PM,31.8,31.16,32.3,32.3,32.3
2022/7/2906:00:00PM,31.5,31.27,31.7,31.7,31.7
2022/7/2907:00:00PM,30.7,30.63,31.1,31.1,31.1
2022/7/2908:00:00PM,30.4,30.39,30.5,30.5,30.5
2022/7/2909:00:00PM,30.2,30.24,30.3,30.3,30.3
2022/7/2910:00:00PM,30.1,30.06,30.3,30.3,30.3
2022/7/2911:00:00PM,29.8,29.87,29.8,29.8,29.8
2022/7/3012:00:00AM,29.5,29.56,29.7,29.7,29.7
2022/7/3001:00:00AM,28.8,29.17,29.1,29.1,29.1
2022/7/3002:00:00AM,28.5,28.78,28.9,28.9,28.9
2022/7/3003:00:00AM,28.3,28.53,28.5,28.5,28.5
2022/7/3004:00:00AM,28,28.36,28.3,28.3,28.3
2022/7/3005:00:00AM,28,28.19,28.2,28.2,28.2
2022/7/3006:00:00AM,28.3,28.4,28.3,28.3,28.3
2022/7/3007:00:00AM,29.3,29.22,28.9,28.9,28.9
2022/7/3008:00:00AM,29.8,29.74,29.9,29.9,29.9
2022/7/3009:00:00AM,29.7,29.99,30.9,30.9,30.9
2022/7/3010:00:00AM,30.1,30.26,29.7,29.7,29.7
2022/7/3011:00:00AM,31.5,31.27,31.1,31.1,31.1
2022/7/3012:00:00PM,31.6,31.41,31.4,31.4,31.4
2022/7/3001:00:00PM,31.7,31.23,29.7,29.7,29.7
2022/7/3002:00:00PM,31,30.9,30,30,30
2022/7/3003:00:00PM,31.8,31.1,31.5,31.5,31.5
2022/7/3004:00:00PM,31.8,31.46,31.6,31.6,31.6
2022/7/3005:00:00PM,31.4,31,31.7,31.7,31.7
2022/7/3006:00:00PM,31,30.77,30.4,30.4,30.4
2022/7/3007:00:00PM,29.5,29.33,30.1,30.1,30.1
2022/7/3008:00:00PM,29.9,29.67,30.1,30.1,30.1
2022/7/3009:00:00PM,29.6,30.02,30,30,30
2022/7/3010:00:00PM,29.7,29.81,29.9,29.9,29.9
2022/7/3011:00:00PM,29.6,29.81,29.4,29.4,29.4
2022/7/3112:00:00AM,29.5,29.23,26.4,26.4,26.4
2022/7/3101:00:00AM,25.6,25.88,26,26,26
2022/7/3102:00:00AM,26.8,26.57,27.2,27.2,27.2
2022/7/3103:00:00AM,26.8,27.06,27.4,27.4,27.4
2022/7/3104:00:00AM,26.9,27.02,27.4,27.4,27.4
2022/7/3105:00:00AM,26.8,27.21,27.5,27.5,27.5
2022/7/3106:00:00AM,27.2,27.55,27.6,27.6,27.6
2022/7/3107:00:00AM,28.9,28.69,28.2,28.2,28.2
2022/7/3108:00:00AM,29.2,29.36,29.1,29.1,29.1
2022/7/3109:00:00AM,30.3,30.25,30.5,30.5,30.5
2022/7/3110:00:00AM,31.3,31.42,31.5,31.5,31.5
2022/7/3111:00:00AM,31.9,32.37,32.5,32.5,32.5
2022/7/3112:00:00PM,32.6,32.62,33,33,33
2022/7/3101:00:00PM,31.9,33.35,32.7,32.7,32.7
2022/7/3102:00:00PM,32.2,31.83,32.7,32.7,32.7
2022/7/3103:00:00PM,31.3,31.53,32.1,32.1,32.1
2022/7/3104:00:00PM,31.2,31.23,31.6,31.6,31.6
2022/7/3105:00:00PM,31.2,31.15,31.6,31.6,31.6
2022/7/3106:00:00PM,30.8,30.76,31.2,31.2,31.2
2022/7/3107:00:00PM,30.2,30.26,30.5,30.5,30.5
2022/7/3108:00:00PM,29.9,30.11,30.2,30.2,30.2
2022/7/3109:00:00PM,29.6,29.99,29.9,29.9,29.9
2022/7/3110:00:00PM,29.2,29.75,29.4,29.4,29.4
2022/7/3111:00:00PM,28.8,29.44,29.1,29.1,29.1
2022/8/112:00:00AM,28.9,29.31,29,29,29
2022/8/101:00:00AM,28.8,29.14,29.1,29.1,29.1
2022/8/102:00:00AM,28.8,29.08,28.6,28.6,28.6
2022/8/103:00:00AM,27.2,27.28,28.5,28.5,28.5
2022/8/104:00:00AM,28,27.21,28.2,28.2,28.2
2022/8/105:00:00AM,27.7,26.72,28.2,28.2,28.2
2022/8/106:00:00AM,27.2,27.14,27.2,27.2,27.2
2022/8/107:00:00AM,27.7,27.66,27.9,27.9,27.9
2022/8/108:00:00AM,28.1,27.88,28.8,28.8,28.8
2022/8/109:00:00AM,29.9,29.28,29.7,29.7,29.7
2022/8/110:00:00AM,30.2,29.28,30.9,30.9,30.9
2022/8/111:00:00AM,30.5,30.41,31.8,31.8,31.8
2022/8/112:00:00PM,30.6,30.2,32.3,32.3,32.3
2022/8/101:00:00PM,30.9,30.39,30.6,30.6,30.6
2022/8/102:00:00PM,31.5,30.86,30.9,30.9,30.9
2022/8/103:00:00PM,30.8,30.24,30.6,30.6,30.6
2022/8/104:00:00PM,30.5,30.11,29.4,29.4,29.4
2022/8/105:00:00PM,29.1,28.83,28.4,28.4,28.4
2022/8/106:00:00PM,28.9,28.84,29.2,29.2,29.2
2022/8/107:00:00PM,29.2,28.86,29.1,29.1,29.1
2022/8/108:00:00PM,29.1,28.82,29,29,29
2022/8/109:00:00PM,28.9,29.1,28.9,28.9,28.9
2022/8/110:00:00PM,29,28.84,28.7,28.7,28.7
2022/8/111:00:00PM,28.7,28.72,28.4,28.4,28.4
2022/8/212:00:00AM,28.4,28.73,28.9,28.9,28.9
2022/8/201:00:00AM,28.4,28.44,28.5,28.5,28.5
2022/8/202:00:00AM,28.4,28.32,28.7,28.7,28.7
2022/8/203:00:00AM,28.5,28.34,27.8,27.8,27.8
2022/8/204:00:00AM,28.4,28.27,27.7,27.7,27.7
2022/8/205:00:00AM,27.5,27.79,27.5,27.5,27.5
2022/8/206:00:00AM,26.6,26.76,26.7,26.7,26.7
2022/8/207:00:00AM,26.9,27.03,27.3,27.3,27.3
2022/8/208:00:00AM,28.2,28.03,28.2,28.2,28.2
2022/8/209:00:00AM,27.5,28.1,27.9,27.9,27.9
2022/8/210:00:00AM,24.3,24.99,24.9,24.9,24.9
2022/8/211:00:00AM,24.4,24.92,25,25,25
2022/8/212:00:00PM,24.6,25.05,25.2,25.2,25.2
2022/8/201:00:00PM,25.4,25.51,26.2,26.2,26.2
2022/8/202:00:00PM,26,25.93,27,27,27
2022/8/203:00:00PM,27.1,27.09,27.2,27.2,27.2
2022/8/204:00:00PM,27.4,27.52,27.5,27.5,27.5
2022/8/205:00:00PM,28.2,27.81,28.2,28.2,28.2
2022/8/206:00:00PM,27.5,27.59,28,28,28
2022/8/207:00:00PM,28.2,27.29,28.1,28.1,28.1
2022/8/208:00:00PM,28.5,27.64,28.4,28.4,28.4
2022/8/209:00:00PM,29,28.62,28.6,28.6,28.6
2022/8/210:00:00PM,28.5,28.56,28.4,28.4,28.4
2022/8/211:00:00PM,27.8,28.08,27.9,27.9,27.9
2022/8/312:00:00AM,27.8,27.93,28,28,28
2022/8/301:00:00AM,27.9,27.99,27.9,27.9,27.9
2022/8/302:00:00AM,27.4,27.68,27.2,27.2,27.2
2022/8/303:00:00AM,26.8,27.32,27.1,27.1,27.1
2022/8/304:00:00AM,26.7,27,27.3,27.3,27.3
2022/8/305:00:00AM,27.1,26.94,26.9,26.9,26.9
2022/8/306:00:00AM,27.2,27.13,27,27,27
2022/8/307:00:00AM,27.5,27.56,27.2,27.2,27.2
2022/8/308:00:00AM,28.2,28.23,28.2,28.2,28.2
2022/8/309:00:00AM,29.1,29.21,29,29,29
2022/8/310:00:00AM,30.5,30.02,29.3,29.3,29.3
2022/8/311:00:00AM,30.4,30.33,31.6,31.6,31.6
2022/8/312:00:00PM,30.3,29.93,31.2,31.2,31.2
2022/8/301:00:00PM,30.8,30.14,30.8,30.8,30.8
2022/8/302:00:00PM,30.4,29.92,30.9,30.9,30.9
2022/8/303:00:00PM,30.5,30.06,30.9,30.9,30.9
2022/8/304:00:00PM,29.8,29.82,30.5,30.5,30.5
2022/8/305:00:00PM,28.9,29.07,29.4,29.4,29.4
2022/8/306:00:00PM,28.5,28.62,29.1,29.1,29.1
2022/8/307:00:00PM,27.2,27.52,28.2,28.2,28.2
2022/8/308:00:00PM,27.7,27.62,28.2,28.2,28.2
2022/8/309:00:00PM,27.3,27.32,27.6,27.6,27.6
2022/8/310:00:00PM,27.1,27.24,27.5,27.5,27.5
2022/8/311:00:00PM,26.9,27.09,27.5,27.5,27.5
2022/8/412:00:00AM,27,27.14,27.4,27.4,27.4
2022/8/401:00:00AM,26.8,26.73,27.1,27.1,27.1
2022/8/402:00:00AM,26.6,26.82,27.1,27.1,27.1
2022/8/403:00:00AM,26.6,26.48,27.2,27.2,27.2
2022/8/404:00:00AM,26.7,26.45,27.4,27.4,27.4
2022/8/405:00:00AM,26.7,26.54,26.9,26.9,26.9
2022/8/406:00:00AM,27,26.76,26.8,26.8,26.8
2022/8/407:00:00AM,29.5,29.14,28.1,28.1,28.1
2022/8/408:00:00AM,30.1,31.22,29.6,29.6,29.6
2022/8/409:00:00AM,31,30.62,31,31,31
2022/8/410:00:00AM,31.2,30.44,31.1,31.1,31.1
2022/8/411:00:00AM,32.1,31.17,31.8,31.8,31.8
2022/8/412:00:00PM,30.9,30.76,32.7,32.7,32.7
2022/8/401:00:00PM,32.4,30.94,32.9,32.9,32.9
2022/8/402:00:00PM,31.9,30.98,32.7,32.7,32.7
2022/8/403:00:00PM,31.4,31.01,32.7,32.7,32.7
2022/8/404:00:00PM,31.4,31.21,32,32,32
2022/8/405:00:00PM,28.3,28.4,28.5,28.5,28.5
2022/8/406:00:00PM,28.9,28.61,29.1,29.1,29.1
2022/8/407:00:00PM,28.7,28.76,29,29,29
2022/8/408:00:00PM,28.6,28.1,28.2,28.2,28.2
2022/8/409:00:00PM,27,27.09,26.9,26.9,26.9
2022/8/410:00:00PM,26.3,26.4,27.1,27.1,27.1
2022/8/411:00:00PM,26.1,26.32,26.9,26.9,26.9
2022/8/512:00:00AM,25.8,26.03,27,27,27
2022/8/501:00:00AM,26.1,26.35,27.4,27.4,27.4
2022/8/502:00:00AM,26.2,26.4,27.2,27.2,27.2
