time,港濱軸帶,安平老街,國華海安商圈,孔廟文化園區,赤崁園區
2022/7/502:00:00AM,27,27.57,27.5,27.5,27.5
2022/7/503:00:00AM,27.1,27.59,27.4,27.4,27.4
2022/7/504:00:00AM,27.3,27.62,27.5,27.5,27.5
2022/7/505:00:00AM,27.2,27.73,27.4,27.4,27.4
2022/7/506:00:00AM,27.7,27.92,27.5,27.5,27.5
2022/7/507:00:00AM,25.8,26.14,26.2,26.2,26.2
2022/7/508:00:00AM,26.6,26.89,27.1,27.1,27.1
2022/7/509:00:00AM,28.6,29.31,28.7,28.7,28.7
2022/7/510:00:00AM,27.2,27.26,29,29,29
2022/7/511:00:00AM,29.8,27.55,29.6,29.6,29.6
2022/7/512:00:00PM,25.5,25.7,25.8,25.8,25.8
2022/7/501:00:00PM,25.8,25.85,25.8,25.8,25.8
2022/7/502:00:00PM,26.1,26.56,25.8,25.8,25.8
2022/7/503:00:00PM,26.9,27.2,27,27,27
2022/7/504:00:00PM,27.3,27.52,27.2,27.2,27.2
2022/7/505:00:00PM,27.6,27.83,27.7,27.7,27.7
2022/7/506:00:00PM,27.9,27.8,27.9,27.9,27.9
2022/7/507:00:00PM,27.8,27.91,28.2,28.2,28.2
2022/7/508:00:00PM,27.3,27.72,27.6,27.6,27.6
2022/7/509:00:00PM,27.3,27.65,27.6,27.6,27.6
2022/7/510:00:00PM,27.2,27.47,27.4,27.4,27.4
2022/7/511:00:00PM,27,27.45,27.1,27.1,27.1
2022/7/612:00:00AM,27.1,27.58,27.1,27.1,27.1
2022/7/601:00:00AM,27.3,27.41,26.7,26.7,26.7
2022/7/602:00:00AM,26.7,26.89,26.5,26.5,26.5
2022/7/603:00:00AM,26.3,26.68,26.4,26.4,26.4
2022/7/604:00:00AM,26.4,26.82,26.5,26.5,26.5
2022/7/605:00:00AM,26.6,26.92,26.6,26.6,26.6
2022/7/606:00:00AM,27,27.65,26.8,26.8,26.8
2022/7/607:00:00AM,27.3,28.1,27.4,27.4,27.4
2022/7/608:00:00AM,29.6,30.51,29.3,29.3,29.3
2022/7/609:00:00AM,27.5,28.61,28.4,28.4,28.4
2022/7/610:00:00AM,30.7,30.67,31.2,31.2,31.2
2022/7/611:00:00AM,30.9,30.71,31.6,31.6,31.6
2022/7/612:00:00PM,31.5,30.96,32.2,32.2,32.2
2022/7/601:00:00PM,31.4,30.81,32.3,32.3,32.3
2022/7/602:00:00PM,30.9,30.82,31.6,31.6,31.6
2022/7/603:00:00PM,30.9,30.64,31.7,31.7,31.7
2022/7/604:00:00PM,30.9,30.33,31.6,31.6,31.6
2022/7/605:00:00PM,29.7,29.69,30.8,30.8,30.8
2022/7/606:00:00PM,29.5,29.47,30.1,30.1,30.1
2022/7/607:00:00PM,29.2,29.37,29.4,29.4,29.4
2022/7/608:00:00PM,29.2,29.18,29.2,29.2,29.2
2022/7/609:00:00PM,29,28.97,29,29,29
2022/7/610:00:00PM,28.6,28.7,28.7,28.7,28.7
2022/7/611:00:00PM,28.2,28.43,28.4,28.4,28.4
2022/7/712:00:00AM,28,28.32,28,28,28
2022/7/701:00:00AM,28.7,28.49,28,28,28
2022/7/702:00:00AM,28.8,28.86,28.1,28.1,28.1
2022/7/703:00:00AM,28.8,28.84,28.2,28.2,28.2
2022/7/704:00:00AM,28.9,28.9,27.8,27.8,27.8
2022/7/705:00:00AM,28.9,27.82,27.2,27.2,27.2
2022/7/706:00:00AM,27.8,27.64,27.5,27.5,27.5
2022/7/707:00:00AM,29.3,29.76,28.4,28.4,28.4
2022/7/708:00:00AM,30.8,30.22,29.8,29.8,29.8
2022/7/709:00:00AM,30.9,30.43,30.9,30.9,30.9
2022/7/710:00:00AM,31.3,30.69,31.9,31.9,31.9
2022/7/711:00:00AM,31.9,30.74,32.5,32.5,32.5
2022/7/712:00:00PM,31.6,31.1,33,33,33
2022/7/701:00:00PM,31.3,31.17,32.3,32.3,32.3
2022/7/702:00:00PM,31.7,31.59,32.3,32.3,32.3
2022/7/703:00:00PM,32,31.52,31.7,31.7,31.7
2022/7/704:00:00PM,31.3,31.2,31.3,31.3,31.3
2022/7/705:00:00PM,31.5,30.98,31.4,31.4,31.4
2022/7/706:00:00PM,30.7,30.81,31,31,31
2022/7/707:00:00PM,30.1,30.03,29.7,29.7,29.7
2022/7/708:00:00PM,28.9,28.9,29.3,29.3,29.3
2022/7/709:00:00PM,28.2,28.73,29,29,29
2022/7/710:00:00PM,28.6,28.74,29,29,29
2022/7/711:00:00PM,28.2,28.62,28.8,28.8,28.8
2022/7/812:00:00AM,28.2,28.66,28.7,28.7,28.7
2022/7/801:00:00AM,28.4,28.63,28.7,28.7,28.7
2022/7/802:00:00AM,28.1,28.38,28.5,28.5,28.5
2022/7/803:00:00AM,28.1,28.03,28.4,28.4,28.4
2022/7/804:00:00AM,27.9,28.07,28.1,28.1,28.1
2022/7/805:00:00AM,27.8,28.04,28.2,28.2,28.2
2022/7/806:00:00AM,28.4,28.91,28.3,28.3,28.3
2022/7/807:00:00AM,29.2,29.99,28.7,28.7,28.7
2022/7/808:00:00AM,29.8,30.78,30.2,30.2,30.2
2022/7/809:00:00AM,30.9,31.35,30.8,30.8,30.8
2022/7/810:00:00AM,32.1,32.27,31.7,31.7,31.7
2022/7/811:00:00AM,31.6,32.53,32,32,32
2022/7/812:00:00PM,33.1,32.06,31.7,31.7,31.7
2022/7/801:00:00PM,32.8,32.42,32.4,32.4,32.4
2022/7/802:00:00PM,33.4,32.64,33.1,33.1,33.1
2022/7/803:00:00PM,32.3,32.75,32.4,32.4,32.4
2022/7/804:00:00PM,31.3,30.67,31.5,31.5,31.5
2022/7/805:00:00PM,28.5,28.72,28.8,28.8,28.8
